index,magnitude,anatomical_class,region_name
28,24090.380859375,4,Subcortical Lobe
33,23355.09765625,0,Frontal Lobe
32,23265.177734375,0,Frontal Lobe
29,22497.419921875,4,Subcortical Lobe
44,22007.029296875,1,Occipital Lobe
16,20733.26171875,0,Frontal Lobe
38,20181.76171875,5,Temporal
41,20159.255859375,5,Temporal
27,19914.783203125,3,Prefontal Lobe
43,19492.36328125,1,Occipital Lobe
